Account,Quantity(GOAT),Tokens Held,SOL Balance,Wallet Age
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,53353226.72,,,
9SLPTL41SPsYkgdsMzdfJsxymEANKr5bYoBsQzJyKpKS,19700515.36,,,
F7RkX6Y1qTfBqoX5oHoZEgrG1Dpy55UZ3GfWwPbM58nQ,18358622.60,,,
A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,17700127.59,,,
44P5Ct5JkPz76Rs2K6juC65zXMpFRDrHatxcASJ4Dyra,16151152.36,,,
9cNE6KBg2Xmf34FPMMvzDF8yUHMrgLRzBV3vD7b1JnUS,12645354.91,,,
38ESLHdJkqNvMbJmbgsHJGXjJPpsL4TkvSUgXegYgvpr,10001047.32,,,
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,9042762.02,,,
AcFmVa1HJTKkz6qn4sfLAFvjKqd914KgdaNHGEszMR5Q,8891026.60,,,
GxhQ5LTFc4dTxAXt7aQ4uSKvr8ev9T2QXE9zWKA3pjFP,8591047.43,,,
79sJvLQ3QrL88Uc9jgV3iTT5Ft19xtMbjmAkhgoKh38W,7932329.62,,,
FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,7763719.78,,,
7QAFvj11sS5kgNh7otR3EGEZbGRHR3nMwNz31rTcDm8P,7523424.67,,,
Ait7nuyWJSxHF7c1WX2CQ7AHFa2nPFYYg84xL5nPhYtn,7025023.12,,,
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,6728342.10,,,
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,6655043.23,,,
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,6251889.47,,,
8icKqfmu95pCmfQLc2cLkmhB7LqN8tRaaE4cvKnGpwpq,6002400.00,,,
DHeiaWt2MzA5BgBU6FQe6V3K8akJMcDbXYxrqPV19F9U,6000100.00,,,
