Account,Quantity
8Mm46CsqxiyAputDUp2cXHg41HE3BfynTeMBDwzrMZQH,112378114.33
hTvwKr1RvQdPS5xiWfXM2UZYuF55Ei8zzsuB7e58feu,109758331.88
AC5RDfQFmDS1deWZos921JfqscXdByf8BKHs5ACWjtW2,67456670.68
CBEADkb8TZAXHjVE3zwad4L995GZE7rJcacJ7asebkVG,52117385.50
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,41100416.44
JBQ1suc4GJBbVYP6y2poGjoDCFrfjtGSEJRt4deasyNe,32829674.18
A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,32479739.27
4vmjUC6AtFK4JyF9CrcBM8Wtq9fFvUSa31pLWJumGMZ,29012410.64
81BgcfZuZf9bESLvw3zDkh7cZmMtDwTPgkCvYu7zx26o,27626054.69
7XmrmvNNGc3LHqq3HqGHnCdgoAQv4yx7kHwYqtiMPzgD,24226306.00
8DBwT4zFqHmK5KU4kMj1zceQANHwf76NRuhevB7ZSoEc,22284354.03
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,18023656.63
5PAhQiYdLBd6SVdjzBQDxUAEFyDdF5ExNPQfcscnPRj5,16718869.33
417ccNwQnQykVbFUDKd3sh6xHKGSRTaCTWr6sdR9ZuCa,10704068.07
6FEVkH17P9y8Q9aCkDdPcMDjvj7SVxrTETaYEm8f51Jy,8875472.76
2tU4k62hFNMwwxrynmudXGv3csNQuxLtDBUsxAMt9SdL,8698591.41
Ezhr48hfsyUg9zoAq7CH5opi7NbSM34RjrVFf4n8cVpo,8539942.52
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,8189534.80
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,7987933.45
