Account,Quantity(GOAT)
8Mm46CsqxiyAputDUp2cXHg41HE3BfynTeMBDwzrMZQH,112378114.33
hTvwKr1RvQdPS5xiWfXM2UZYuF55Ei8zzsuB7e58feu,109758331.88
AC5RDfQFmDS1deWZos921JfqscXdByf8BKHs5ACWjtW2,67456670.68
CBEADkb8TZAXHjVE3zwad4L995GZE7rJcacJ7asebkVG,52117385.50
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,41100416.44
JBQ1suc4GJBbVYP6y2poGjoDCFrfjtGSEJRt4deasyNe,32829674.18
A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,32479739.27
4vmjUC6AtFK4JyF9CrcBM8Wtq9fFvUSa31pLWJumGMZ,29012410.64
81BgcfZuZf9bESLvw3zDkh7cZmMtDwTPgkCvYu7zx26o,27626054.69
7XmrmvNNGc3LHqq3HqGHnCdgoAQv4yx7kHwYqtiMPzgD,24226306.00
8DBwT4zFqHmK5KU4kMj1zceQANHwf76NRuhevB7ZSoEc,22284354.03
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,18023656.63
5PAhQiYdLBd6SVdjzBQDxUAEFyDdF5ExNPQfcscnPRj5,16718869.33
417ccNwQnQykVbFUDKd3sh6xHKGSRTaCTWr6sdR9ZuCa,10704068.07
6FEVkH17P9y8Q9aCkDdPcMDjvj7SVxrTETaYEm8f51Jy,8875472.76
2tU4k62hFNMwwxrynmudXGv3csNQuxLtDBUsxAMt9SdL,8698591.41
Ezhr48hfsyUg9zoAq7CH5opi7NbSM34RjrVFf4n8cVpo,8539942.52
DBmae92YTQKLsNzXcPscxiwPqMcz9stQr2prB5ZCAHPd,8189534.80
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,7987933.45
FixDET3jRBMjT9M69Wim8iRpMQiJHkSSfD7wivStuuph,7857729.23
6hiwdhLrQZvt2nTx9YabB8J1uKet1jrirFbatBm51XuG,6699987.25
22Wnk8PwyWZV7BfkZGJEKT9jGGdtvu7xY6EXeRh7zkBa,6517971.77
4QXXp184iMKjL1ZTLrGtjMFvR2n2YhpUS1WypmzGaYB3,6394585.84
FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,6377605.59
Eayw2VYq9LLSyscKbof98AwcLBvdL5tTDZ2MMZ2wYLZi,6000000.00
Cw32Ny2xcYdpfJmvFd7h2pRhcbcjoJFq8KrrA8YLwZeh,5936449.60
EkgmqAadC69Qs9L7j23yfS4rDjp2VxXHqBimXC4qLvJp,5172972.65
4TYF8iW8bXET9C8aFgJoiUHhNtpBg5bqRsxSptCExvz7,4926182.87
44P5Ct5JkPz76Rs2K6juC65zXMpFRDrHatxcASJ4Dyra,4817088.85
52wG8Y2wHWwavYs2gYrrZ7hXL1FFmbfjwV2dP17iU7v3,4778163.14
C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,4642206.34
EHBnc3QQpdzRkx861h7VQuUEHSvrrZppMMF3zA8GH51m,4634748.46
2zRU3LrCXHHHFexCP8knAdkr1WRVkaR24Cx4adrWCv5G,4634748.46
9cNE6KBg2Xmf34FPMMvzDF8yUHMrgLRzBV3vD7b1JnUS,4423351.18
HFWv1riXSRJ3nVnnLZ9xi1K4r3zppRvcfVuiAGqAA8Y6,4152416.92
8RZ7BP3AJdEmLhSUbuCqDkzNiNfJZ2nxsfS27vUNVevB,4101046.53
6yhfD4A8QwebeoeDBSxJFh9zTZLT1xPX7KMn38aTRfuj,3991750.44
6QGUkJyy33EuDEdWqs1ZS5D2f1v1rZ6sGtq2YVy6xBvK,3633725.41
Gtnu1p1rSBj4w7yXddZW5yCoC8RxCHV5qeEAVkZZZb7D,3464650.40
2h8JJq1kAsJvKYVrsEqwhQTcy99p465esHUFcJA94QY2,3400303.17
BYFuwCYoNwuXiKKvTdzdaCDcFMpyhibwTTQ2H4SrrYTL,3382798.49
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,3360438.58
B7QWmgEYdGMAeUH9VFywer4ebXzrkjNpystphtngp6VV,3240587.67
Gc72C51CeqBdqsoj9xCksQJzsMcz9VGCciWUMJ32E5C2,3206747.00
9cDdfd9YrXJ6vS1CBqs6M9KgC9vX9nmJF46gwgtaarWc,3169994.26
8wM44Ryv9DFCSfkgUnPEPgnsc53arT4cnmXL6LnnC4UW,3081249.28
6WwTYxkH8n1uJYmciWxQUAebHxoVLN7GkUZDm4H2x4hi,3026988.81
E1tkWncjvQy617vieo9EBWi6bFAFKLkeBRcJvXxTLzNx,3013076.31
CRKVbidTxBJAj3F57kUdUZu3SSTsmv8kY2jKoFRnkbKm,2994328.50
EFYbFKpc6m5vx3fQjP1X7zfysMko2nh4w6zMfLc2jLRW,2730000.00
FZ1t8TZtx7VSCQdBsxvFJiezj9paUBF6Ub7RKA2eTGyE,2703035.53
J1BGeK3ojLF5dqaNFLg7WkQToyYisY79pWvHHscTJcpD,2701983.17
F7RkX6Y1qTfBqoX5oHoZEgrG1Dpy55UZ3GfWwPbM58nQ,2692866.27
88ao9M7PuNoyubW575bhUM6S6wbrVPUwUxsvy8EXBxtH,2661781.95
9jnNwznfBSj6qbktd9dtZd8jY47HQGboVGJa97uX5yMm,2581115.36
9ZPsRWGkukYeWg2Z7eZ8NaTBZ1DSuBUVzLcGQWZgE4Y4,2572929.81
2UL8hbNaoErAYNePqgQYPP9yDCDRZGWbzKW4krLqkhNL,2521077.01
BxqmRsaJfWMeRe95DoGNLS5QQBvPyCywNHbFwoqrYTPr,2508374.82
EiiAnQsfcruxHFkDabAmH4gzqLUZoEVwRuqEFQGP11xw,2415852.43
CmYYioEdU3TmzLZw6wYGF6ER9FWqtJzmVo9vXgzUjJ3n,2349430.80
A5dYBMmmuzTTy6MeC4htkYvPJQJMRntdtMo5k7qFsNNQ,2214766.19
8NBEbxLknGv5aRYefFrW2qFXoDZyi9fSHJNiJRvEcMBE,2153188.00
HWdeCUjBvPP1HJ5oCJt7aNsvMWpWoDgiejUWvfFX6T7R,2087431.33
3RieTyY7uM1KducnoBgjPvc1kpna94DSrCCaxz5a1ns6,2000000.84
3xzTSh7KSFsnhzVvuGWXMmA3xaA89gCCM1MSS1Ga6ka6,1933257.62
271qbtXXCJ1jyGqvJBqddRx5fq5i6p9VQMoRsUnvT6h1,1872968.45
4gXs8oc2yEwDTPkDyo6V8ZixheTCZvu8JicrEuDat8tH,1839730.91
M2St7Gra11AKvk3tC4fJPkxviWYKpLZSMmKcHNoDtxp,1670479.14
Evh5LtWy4JLbMzc7WRVxoCMCUtg9KwE9sqJyYyj1QN2a,1620084.58
FdTESWp6g1FVDFbkpKz63nkXQHCVX3g1HseHkheVsGRS,1619993.13
JAxDecgebq1tcPxUfu4aYizKuvQBUZY8n7uqsVZHnzFG,1602862.19
D85sCPqpLwQatupyDPsfJnNpj4wCEt5xWcpyW2rS5F1e,1564759.00
4ibwPoPEiuCMcZ948vJ5icb1djdPeXjx52hySCjCwds2,1511452.31
24zatE9PTFXJiTQg31gdYHuuppq6oMMBufuPURNWCW7e,1486369.15
AhxzRPdizP8Dg52aJHrczQphEcsPv36QocHujrcPtarU,1400000.00
GL8T72PKygWaYrLKtSteN9UUvYYnuC8azNDunk4eaqqQ,1394707.95
B4aMwdv6kP3pWfTp9P1uwk9LdF9wMRWiHMs4CngtQqr2,1390187.10
4Fb3Yzy9enKpYhRb6xX3Abz1wwbBLsKiBpeiqZ8ECYZP,1383333.88
AzDByJsGm9gAVQPX8v8WS3iAs3PPdTwZZDDUNP2u5nVj,1261425.69
AwiguNn4m6Z3qeeXoiF2cMcAEqs4nu7zBU611E3iTsmH,1199095.56
FneFUpqkjBx5KNGVWtsBY7TuUnS3962BQEgctWNje7mL,1176650.51
ANuXDc9MX6MS1JhDsc4U86MyFxfELUd455bG2bcT5EGE,1157099.52
5wTLevkkUWzKgRTWKcSjrgdoP8TnrEnXYGaAxFKibsS5,1109690.26
44YBnjSTkGxhPW8ZpYBFpfGb1tNP6Epzi83SpF2WcbnL,1103207.77
DXMzNaSUUi4RJgJeMEmgE7Hb329qEeK4Le3X699KCALR,1074504.04
7A73K6jQqtnmjH7b2LHKuA6tdNCGKw3jWSASnNEDzyo9,1064374.17
J6q6LiUi8qcnHw9chYD1wQQnLJche2h51KvuyCM2trVB,1016360.43
69wiUV82tPsvR8vDMU3AoC7cCsVCErrwM8U8DRzjXMjW,1003720.33
MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,1000909.67
CMQgBRmmWBRitNDCCpj8ZTTwYMnhyRk5gTBfAHqW5Q9,998248.41
Gf2QC9pvQN8TPuX5yyDXdoKKYCoSUbDHfxM7sPW32wEX,990954.48
2huhjvT7GtDSQigcYPoQxnHrXJnA3Gf8hD2wQVrB8Xbh,980590.02
BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,952688.41
ADqZYsW9SVZ6bCSGDqfBiPkfaZuQKGg79MA357otX8Ud,950064.57
GGm2TK82dwaUqRT66r8qZ3E8Wgt9gh6RYjdRMe5QszNB,942954.99
FcH9X4WtgZeJ6dkDgBehfzoxAoDg8XgjpxNg8u9JZrTk,933091.74
6EAo85U5GVkbU11CufM7aWmmjGjfY2ANGwkzpc3BbXQY,924166.35
AMyX2RkVwtVBgtW4QJC4kewuaZJkvbDGZgh9E9YcveRu,885000.00
A3ZcnXcCnLDWsCgxMDryqFPLCP6dpMGEs5eaHHwjm6Sg,872587.47
5MpqH1qSFtNue19Apy9so2JkDSdir58BDLnCEVafG7s3,860022.66
7k6fHANgwdHjUrPXsrExcTGtXNNzSq7hNipjj9JbzhwM,850000.00
69EEawTAZG9aNDC64PtBfoNRkrGwR92wtQm3bQgr1Gct,800000.00
62D255w5Bg6Puq2fcJVdb9KLXAhqDQqQdMAbBRdxobLF,800000.00
9VnLAQLHjtjXQKFASHhZAiyZ4pTvdGTtHvHbGdvenGSp,799964.00
D4REhuGm9jPTEzgQP1TLfBZoBZJGUejD2j5hw5S1qYWB,786354.18
4kKFykZkVqE5wbBgj6o8ddnj5TmA6UQgXJLYzAasgKdD,751765.14
6k3XyjFhyWk5AHMRuMN3RL5evZK97qQTYpuCPoWDzwjc,750792.78
9goN9WevrARGxw7vLuZn6o9ZdrZnGrMXvjL8J1De9TKZ,748181.21
9eBTTDjNTS1AKYzzVRjp8WUfds25zeenAPEnv4DicPW1,735358.07
FbWKhRZghRiKswmCbYYsZ2FUTcLWmgKEFFwXThbASvCQ,709492.05
6dUaYX9Z6aQPY66BgD4yzu1saifGAZLrhQqF9BugJxJ1,691637.76
4ULY2M5MYYUogryFwhLJQCtj6hXMAGLBwZ1dWzgYsP4Y,677170.55
9QScSF5TssogYNUiNJJApXyd8WVbjKwiUXGKuNHv2cuY,671820.87
2a91pXv7HfCbvQtKH1JFVemfctLLTqkxZdJxFyVFLfZ4,641340.39
53gDPFjMUJonVZuJJQH4wxqYY2Zrokc7TNiripxPmde7,633815.64
9rjRq94WDx2E1PvpuJRHp4aKufnP1eYNb2nSBjH2jztD,633333.33
4WLAj8PbeGLZbFY2ogF7Y7hM5VDir8Teb6waq3dyj8xK,630749.83
3wV9nLx8R9EV8h5Rq2BAaJMSPWazfrAnPMU5NCUYKrsm,625000.00
rWpNVkdyEgJWeR9Hu5vYPU3cN52uVGQpLXKnBuyDPZG,623716.18
Cr8mTPjT7XSCsNatYegwnGYFgaKKSb3tJpQh7mum796E,614109.40
52o4vC3rt4WyVk9RodJM1JKNVoc7kT5eMWQ1bqyvtDFw,606288.51
2YxQCXt9spMwoQZiwFLwdjHtscVvXi4nmxCkQCD6Rvgg,603569.14
